OrderID,OrderDate,Branch,CustomerID,ProductID,ProductName,Quantity,UnitPrice,Discount
CT-1001,2026-07-04,CT,C005,P003,USB-C Hub,4,$29.90,5%
CT-1002,2026-07-15,CT,C005,P003,USB-C Hub,4,$29.90,5%
CT-1003,2026-07-09,CT,C008,P002,Mechanical Keyboard,3,$42.00,5%
CT-1004,2026-07-20,CT,C002,P001,Wireless Mouse,5,$18.50,5%
CT-1005,2026-07-30,CT,C002,P001,Wireless Mouse,3,"$1,250.00",0%
CT-1006,2026-07-23,CT,C008,P001,Wireless Mouse,4,$18.50,0%
CT-1007,2026-07-23,CT,C002,P001,Wireless Mouse,5,$18.50,10%
CT-1008,2026-07-30,CT,C008,P004,Laptop Stand,2,$24.50,0%
CT-1009,2026-07-10,CT,C003,P004,Laptop Stand,1,$24.50,5%
HN-1002,2026-07-29,CT,C001,P001,Wireless Mouse,1,$18.50,0%
CT-1011,2026-07-10,CT,C006,P002,Mechanical Keyboard,5,$42.00,0%
CT-1012,2026-07-26,CT,C003,P003,USB-C Hub,1,$29.90,0%
CT-1013,2026-07-31,CT,C008,P001,Wireless Mouse,5,$18.50,5%
CT-1014,2026-07-18,CT,C005,P002,Mechanical Keyboard,2,$42.00,0%
CT-1015,2026-07-06,CT,C002,P001,Wireless Mouse,5,$18.50,0%
CT-1016,2026-07-14,CT,C007,P005,Webcam HD,1,$35.00,0%
CT-1017,2026-07-12,CT,C001,P002,Mechanical Keyboard,3,$42.00,5%
CT-1018,2026-07-31,CT,C003,P004,Laptop Stand,5,$24.50,5%
