Date,Base,Quote,Rate
2026-08-10,USD,EUR,0.8678
2026-08-10,USD,GBP,0.7421
2026-08-10,USD,JPY,160.12
2026-08-10,USD,VND,26045.0
2026-08-11,USD,EUR,0.8695
2026-08-11,USD,GBP,0.744
2026-08-11,USD,JPY,160.84
2026-08-11,USD,VND,26058.0
2026-08-12,USD,EUR,0.871
2026-08-12,USD,GBP,0.7453
2026-08-12,USD,JPY,161.37
2026-08-12,USD,VND,26064.0
2026-08-13,USD,EUR,0.8726
2026-08-13,USD,GBP,0.7461
2026-08-13,USD,JPY,162.05
2026-08-13,USD,VND,26073.0
2026-08-14,USD,EUR,0.8742
2026-08-14,USD,GBP,0.747
2026-08-14,USD,JPY,162.66
2026-08-14,USD,VND,26080.0
