OrderID,OrderDate,Branch,CustomerID,ProductID,ProductName,Quantity,UnitPrice,Discount
HP-1001,2026-07-11,HP,C001,P002,Mechanical Keyboard,2,$42.00,0%
HP-1002,2026-07-10,HP,C008,P003,USB-C Hub,4,$29.90,0%
HP-1003,2026-07-27,HP,C005,P005,Webcam HD,4,$35.00,5%
HP-1004,2026-07-25,HP,C001,P003,USB-C Hub,3,$29.90,10%
HP-1005,2026-07-27,HP,C001,P003,USB-C Hub,4,$29.90,0%
HP-1006,2026-07-20,HP,C004,P003,USB-C Hub,2,$29.90,5%
HP-1007,2026-07-08,HP,C001,P005,Webcam HD,3,$35.00,10%
HP-1008,2026-07-20,HP,C005,P003,USB-C Hub,2,$29.90,10%
HP-1009,2026-07-04,HP,C001,P001,Wireless Mouse,5,$18.50,0%
HP-1010,2026-07-28,HP,C003,P001,Wireless Mouse,5,$18.50,0%
HP-1011,2026-07-13,HP,C008,P001,Wireless Mouse,3,USD 29.90,0%
HP-1012,2026-07-13,HP,C005,P004,Laptop Stand,2,$24.50,10%
HP-1013,2026-07-31,HP,C008,P005,Webcam HD,3,$35.00,0%
HP-1014,2026-07-21,HP,C004,P001,Wireless Mouse,3,$18.50,10%
HP-1015,2026-07-09,HP,C004,P002,Mechanical Keyboard,1,$42.00,5%
HP-1016,2026-07-30,HP,C008,P005,Webcam HD,3,$35.00,0%
HP-1017,2026-07-02,HP,C002,P005,Webcam HD,5,$35.00,10%
HP-1018,2026-07-15,HP,C008,P004,Laptop Stand,3,$24.50,0%
HP-1006,2026-07-20,HP,C004,P003,USB-C Hub,2,$29.90,5%
