OrderID,OrderDate,Branch,CustomerID,ProductID,ProductName,Quantity,UnitPrice,Discount
HCM-1001,2026-07-05,HCM,C006,P002,Mechanical Keyboard,3,$42.00,0%
HCM-1002,2026-07-18,HCM,C003,P004,Laptop Stand,5,$24.50,0%
HCM-1003,2026-07-12,HCM,C008,P003,USB-C Hub,3,$29.90,10%
HCM-1004,2026-07-09,HCM,C007,P003,USB-C Hub,4,$29.90,5%
HCM-1005,2026-07-25,HCM,C005,P004,Laptop Stand,3,$24.50,5%
HCM-1006,2026-07-30,HCM,C008,P004,Laptop Stand,3,$24.50,10%
HCM-1007,2026-07-12,HCM,C006,P003, wireless mouse ,5,$29.90,0%
HCM-1008,2026-07-13,HCM,C004,P005,Webcam HD,3,$35.00,0%
HCM-1009,2026-07-20,HCM,C002,P002,Mechanical Keyboard,4,$42.00,0%
HCM-1010,2026-07-03,HCM,C004,P005,Webcam HD,3,$35.00,0%
HCM-1011,2026-07-16,HCM,C005,P003,USB-C Hub,1,$29.90,10%
HCM-1012,2026-07-27,HCM,C007,P002,Mechanical Keyboard,5,$42.00,5%
HCM-1013,2026-07-24,HCM,C007,P002,Mechanical Keyboard,5,$42.00,0%
HCM-1014,2026/07/28,HCM,C006,P001,Wireless Mouse,5,$18.50,0%
HCM-1015,2026-07-11,HCM,C007,P002,Mechanical Keyboard,3,$42.00,10%
HCM-1016,2026-07-20,HCM,C002,P003,USB-C Hub,1,$29.90,0%
HCM-1017,2026-07-22,HCM,C008,P003,USB-C Hub,3,$29.90,0%
HCM-1018,2026-07-17,HCM,C005,P001,Wireless Mouse,3,$18.50,0%
