OrderID,OrderDate,Store,SKU,Quantity,UnitPrice
ORD-1001,2026-08-21,Shopify-US,SKU005,1,44.99
ORD-1002,2026-08-21,eBay,SKU003,2,34.99
ORD-1003,2026-08-21,eBay,SKU005,1,44.99
ORD-1004,2026-08-17,Shopify-UK,SKU005,1,44.99
ORD-1005,2026-08-21,Shopify-US,SKU004,1,29.99
ORD-1006,2026-08-10,eBay,SKU003,2,34.99
ORD-1007,2026-08-20,eBay,SKU004,1,29.99
ORD-1008,2026-08-09,Shopify-UK,SKU006,2,32.5
ORD-1009,2026-08-08,Shopify-US,SKU005,3,44.99
ORD-1010,2026-08-10,Shopify-US,SKU001,1,19.99
ORD-1011,2026-08-12,Shopify-US,SKU001,3,19.99
ORD-1012,2026-08-08,eBay,SKU006,1,32.5
ORD-1013,2026-08-01,Shopify-UK,SKU003,1,34.99
ORD-1014,2026-08-10,eBay,SKU005,3,44.99
ORD-1015,2026-08-06,eBay,SKU004,2,29.99
ORD-1016,2026-08-12,eBay,SKU001,1,19.99
ORD-1017,2026-08-18,Shopify-US,SKU006,3,32.5
ORD-1018,2026-08-03,Shopify-US,SKU001,1,19.99
ORD-1019,2026-08-02,Shopify-UK,SKU003,1,34.99
ORD-1020,2026-08-07,Shopify-US,SKU003,1,34.99
ORD-1021,2026-08-13,Shopify-UK,SKU006,3,32.5
ORD-1022,2026-08-12,eBay,SKU005,2,44.99
ORD-1023,2026-08-10,Shopify-UK,SKU005,2,44.99
ORD-1024,2026-08-16,Shopify-UK,SKU001,1,19.99
ORD-1025,2026-08-04,eBay,SKU004,1,29.99
ORD-1026,2026-08-18,eBay,SKU002,1,49.99
ORD-1027,2026-08-11,eBay,SKU004,3,29.99
ORD-1028,2026-08-20,Shopify-UK,SKU002,2,49.99
ORD-1029,2026-08-03,eBay,SKU001,3,19.99
ORD-1030,2026-08-15,Shopify-UK,SKU006,1,32.5
ORD-1031,2026-08-14,Shopify-UK,SKU004,2,29.99
ORD-1032,2026-08-16,Shopify-UK,SKU004,2,29.99
ORD-1033,2026-08-11,Shopify-UK,SKU001,2,19.99
ORD-1034,2026-08-06,eBay,SKU002,1,49.99
ORD-1035,2026-08-10,eBay,SKU003,2,34.99
ORD-1036,2026-08-12,Shopify-UK,SKU002,3,49.99
ORD-1037,2026-08-21,Shopify-UK,SKU004,1,29.99
ORD-1038,2026-08-17,Shopify-US,SKU005,3,44.99
ORD-1039,2026-08-01,Shopify-US,SKU006,3,32.5
ORD-1040,2026-08-09,eBay,SKU004,1,29.99
ORD-1041,2026-08-04,Shopify-US,SKU001,2,19.99
ORD-1042,2026-08-20,Shopify-US,SKU002,1,49.99
ORD-1043,2026-08-01,eBay,SKU001,3,19.99
ORD-1044,2026-08-12,Shopify-US,SKU004,2,29.99
ORD-1045,2026-08-01,Shopify-US,SKU002,2,49.99
ORD-1046,2026-08-02,Shopify-US,SKU002,2,49.99
ORD-1047,2026-08-18,Shopify-US,SKU005,1,44.99
ORD-1048,2026-08-11,Shopify-UK,SKU006,1,32.5
ORD-1049,2026-08-16,Shopify-UK,SKU001,3,19.99
ORD-1050,2026-08-01,Shopify-US,SKU001,3,19.99
ORD-1051,2026-08-20,Shopify-UK,SKU004,1,29.99
ORD-1052,2026-08-05,eBay,SKU003,2,34.99
ORD-1053,2026-08-11,Shopify-UK,SKU003,1,34.99
ORD-1054,2026-08-09,Shopify-US,SKU004,2,29.99
ORD-1055,2026-08-07,Shopify-US,SKU001,2,19.99
ORD-1056,2026-08-06,Shopify-UK,SKU003,1,34.99
ORD-1057,2026-08-05,Shopify-UK,SKU005,1,44.99
ORD-1058,2026-08-15,Shopify-UK,SKU005,2,44.99
ORD-1059,2026-08-08,Shopify-US,SKU006,3,32.5
ORD-1060,2026-08-03,Shopify-US,SKU001,1,19.99
