OrderID,OrderDate,Branch,CustomerID,ProductID,ProductName,Quantity,UnitPrice,Discount
DN-1001,2026-07-24,DN,C003,P004,Laptop Stand,4,$24.50,0%
DN-1002,2026-07-03,DN,C004,P003,USB-C Hub,1,$29.90,0%
DN-1003,2026-07-25,DN,C004,P001,Wireless Mouse,,$18.50,5%
DN-1004,2026-07-19,DN,C006,P004,Laptop Stand,1,$24.50,0%
DN-1005,2026-07-19,DN,C004,P004,Laptop Stand,4,$24.50,10%
DN-1006,2026-07-09,DN,C007,P002,Mechanical Keyboard,1,$42.00,0%
DN-1007,2026-07-10,DN,C001,P004,Laptop Stand,1,$24.50,10%
DN-1008,2026-07-31,DN,C008,P003,USB-C Hub,2,$29.90,5%
DN-1009,2026-07-17,DN,C001,P003,USB-C Hub,5,$29.90,5%
DN-1010,2026-07-22,DN,C001,P003,USB-C Hub,4,$29.90,0%
DN-1011,2026-07-12,DN,C004,P002,Mechanical Keyboard,3,$42.00,5%
DN-1012,2026-07-19,DN,C006,P002,Mechanical Keyboard,5,$42.00,0.1
DN-1013,2026-07-14,DN,C001,P005,Webcam HD,1,$35.00,0%
DN-1014,2026-07-08,DN,C008,P005,Webcam HD,5,$35.00,10%
DN-1015,2026-07-06,DN,C007,P002,Mechanical Keyboard,5,$42.00,0%
DN-1016,2026-07-13,DN,C007,P003,USB-C Hub,1,$29.90,5%
DN-1017,2026-07-19,DN,C004,P003,USB-C Hub,4,$29.90,10%
DN-1018,2026-07-02,DN,C004,P004,Laptop Stand,3,$24.50,0%
