OrderID,OrderDate,Branch,CustomerID,ProductID,ProductName,Quantity,UnitPrice,Discount
BN-1001,2026-07-19,BN,C008,P001,Wireless Mouse,5,$18.50,0%
BN-1002,2026-07-02,BN,C001,P005,Webcam HD,2,$35.00,0%
BN-1003,2026-07-26,BN,C007,P004,Laptop Stand,1,$24.50,5%
BN-1004,15/07/2026,BN,C002,P001,Wireless Mouse,3,$18.50,0%
BN-1005,2026-07-03,BN,C007,P005,Webcam HD,1,$35.00,0%
BN-1006,2026-07-18,BN,C006,P001,Wireless Mouse,3,$18.50,10%
BN-1007,2026-07-21,BN,C002,P005,Webcam HD,4,$35.00,0%
BN-1008,2026-07-04,BN,,P002,Mechanical Keyboard,4,$42.00,0%
BN-1009,2026-07-08,BN,C007,P002,Mechanical Keyboard,5,$42.00,10%
BN-1010,2026-07-20,BN,C003,P003,USB-C Hub,1,$29.90,0%
BN-1011,2026-07-30,BN,C007,P001,Wireless Mouse,1,$18.50,0%
BN-1012,2026-07-08,BN,C005,P003,USB-C Hub,1,$29.90,0%
BN-1013,2026-07-11,BN,C008,P004,Laptop Stand,4,$24.50,0%
BN-1014,2026-07-08,BN,C002,P001,Wireless Mouse,5,$18.50,0%
BN-1015,2026-07-01,BN,C003,P002,Mechanical Keyboard,2,$42.00,0%
BN-1016,2026-07-18,BN,C003,P002,Mechanical Keyboard,1,$42.00,0%
BN-1017,2026-07-31,BN,C007,P005,Webcam HD,1,$35.00,0%
BN-1018,2026-07-16,BN,C004,P005,Webcam HD,1,$35.00,10%
