OrderID,OrderDate,Branch,CustomerID,ProductID,ProductName,Quantity,UnitPrice,Discount
HN-1001,2026-07-24,HN,C001,P002,Mechanical Keyboard,2,$42.00,10%
HN-1002,2026-07-05,HN,C007,P004,Laptop Stand,1,$24.50,0%
HN-1003,2026-07-31,HN,C001,P002,Mechanical Keyboard,4,$42.00,0%
HN-1004,2026-07-22,HN,C004,P002,Mechanical Keyboard,2,$42.00,0%
HN-1005,2026-07-20,HN,C004,P004,Laptop Stand,4,$24.50,5%
HN-1006,2026-07-27,HN,C005,P005,Webcam HD,1,$35.00,0%
HN-1007,2026-07-28,HN,C001,P005,Webcam HD,5,$35.00,0%
HN-1008,2026-07-21,HN,C006,P001,Wireless Mouse,4,$18.50,5%
HN-1009,2026-07-28,HN,C001,P004,Laptop Stand,4,$24.50,0%
HN-1010,2026-07-29,HN,C007,P003,USB-C Hub,2,$29.90,10%
HN-1011,2026-07-20,HN,C002,P005,Webcam HD,2,$35.00,0%
HN-1012,2026-07-03,HN,C001,P002,Mechanical Keyboard,5,$42.00,0%
HN-1013,2026-07-14,HN,C006,P002,Mechanical Keyboard,3,$42.00,0%
HN-1014,2026-07-04,HN,C008,P004,Laptop Stand,1,$24.50,10%
HN-1015,2026-07-19,HN,C002,P001,Wireless Mouse,1,$18.50,5%
HN-1016,2026-07-22,HN,C005,P002,Mechanical Keyboard,1,$42.00,0%
HN-1017,2026-07-12,HN,C008,P005,Webcam HD,4,$35.00,5%
HN-1018,2026-07-20,HN,C003,P004,Laptop Stand,1,$24.50,0%
